#Table1
objid,ra,dec,u,g,r,i,z,first_ra,first_dec,integr
1237667211601576242,180.822504011569,29.9410262069503,21.32914,20.40911,19.91334,19.59865,19.33203,0,0,0
1237667211601576630,180.822335959244,29.9737302209965,24.09972,23.25059,21.82558,21.31426,21.26217,0,0,0
1237667211601641860,180.914910736922,29.9719826680694,23.51314,22.48029,21.21879,20.82891,20.63648,0,0,0
1237667211601641861,180.915101521863,29.9748056729812,23.37974,22.87826,23.53599,22.93637,24.58738,0,0,0
1237667211601641865,180.916283445256,29.9840020032315,22.93087,23.14144,22.74342,21.82956,20.90479,0,0,0
1237667254014247174,180.823143666764,29.8075575164323,22.55782,25.19158,25.54215,24.30342,21.95589,0,0,0
1237667254014247176,180.824330881549,29.9053637629926,23.30464,21.53854,20.35612,19.88746,19.46615,0,0,0
1237667254014247232,180.914836343652,29.7818200633695,23.03994,22.83602,21.21603,20.49561,20.29507,0,0,0
1237667254014247434,180.823204562096,29.8048250113629,23.25252,22.63862,22.45121,21.77128,22.17706,0,0,0
1237667254014247438,180.824023939752,29.8854242130511,23.87634,24.67377,23.56897,22.64085,22.56951,0,0,0
1237667254014247439,180.823750997286,29.9205106491239,23.58862,21.80816,20.29373,19.77336,19.28841,0,0,0
1237667254014247724,180.914628056938,29.8116246103755,23.32424,22.11319,21.03379,20.58798,20.18293,0,0,0
1237667254014247729,180.915739884167,29.8980499570583,22.41889,22.82737,22.22836,21.66227,21.23631,0,0,0
1237667254014247899,180.822676293651,29.7648265108119,24.7249,23.25113,21.71458,21.11574,20.85792,0,0,0
1237667254014247901,180.82293044088,29.7771005077311,23.5405,22.83163,21.40624,20.70055,20.361,0,0,0
1237667254014247903,180.82236032394,29.7891427736026,24.8329,24.19142,22.60064,23.14989,22.97609,0,0,0
1237667254014247904,180.8223837803,29.7938133065855,24.82371,23.18914,22.55124,22.5553,22.39548,0,0,0
1237667254014247907,180.82263537288,29.8323184949986,22.53504,23.19176,21.83867,20.90884,20.79053,0,0,0
1237667254014247910,180.82309717659,29.8652991407781,23.23523,23.65434,22.37592,21.94262,21.75209,0,0,0
1237667254014248057,180.914852976856,29.7708422566998,23.16278,22.99203,22.00731,22.07983,20.99278,0,0,0
1237667254014248068,180.915679792667,29.915462957261,25.12142,23.62753,22.32973,21.86052,21.22648,0,0,0
1237667254014248144,180.8222628569,29.8466360865374,24.58684,23.41681,22.99126,21.9807,21.83595,0,0,0
1237667254014248198,180.915230819883,29.8883046626538,24.73536,24.89423,23.42748,21.78345,21.37717,0,0,0
1237667254014248274,180.915250636612,29.7680662168651,24.92592,25.03506,23.81063,21.90634,23.18746,0,0,0
1237667211601576643,180.827592412646,29.937731985349,24.61037,22.62815,21.52101,21.15304,20.6632,0,0,0
1237667211601576648,180.827294036432,29.9487519799026,24.56906,23.20205,24.98934,24.93555,22.95101,0,0,0
1237667211601576650,180.826762713355,29.9882530685027,21.00552,20.0943,19.82743,19.72573,20.00877,0,0,0
1237667211601576655,180.828256557265,29.991432469503,25.54288,22.37666,21.62326,21.63791,21.09534,0,0,0
1237667211601577002,180.827794183183,29.9947691249738,23.13381,23.64454,22.74179,22.97517,21.44747,0,0,0
1237667211601577150,180.828606775368,29.956805997205,23.37577,22.30198,21.16228,21.65805,21.82262,0,0,0
1237667211601641878,180.919977969024,29.974362266646,23.28573,22.97833,21.90653,22.02127,21.60269,0,0,0
1237667254014247095,180.827746472226,29.9266077399728,21.89134,20.10843,18.88491,18.43962,18.13748,0,0,0
1237667254014247179,180.828109556913,29.9219436774592,22.31268,21.83256,20.47075,19.92171,19.54994,0,0,0
1237667254014247435,180.827072316887,29.8100437600262,23.05904,22.21695,21.71548,21.53199,20.68951,0,0,0
1237667254014247447,180.826768458768,29.8790426423055,22.95841,22.91619,22.01471,22.02082,21.55663,0,0,0
1237667254014247457,180.828374474242,29.9159109636327,23.35719,21.05225,19.88002,19.34772,18.88573,0,0,0
1237667254014247727,180.919398172624,29.7940563122388,24.85409,22.60737,20.99246,19.47748,18.71441,0,0,0
1237667254014247739,180.91930234205,29.8461074207217,23.07881,21.82058,20.78162,20.2521,20.06169,0,0,0
1237667254014247740,180.920645801618,29.845295559601,24.51794,22.26488,21.76343,21.87122,21.16224,0,0,0
1237667254014247743,180.919620879812,29.9324937166662,22.98413,22.59517,22.15507,21.58545,21.42985,0,0,0
1237667254014247748,180.921390321171,29.9347539054131,22.68915,21.50007,20.41003,19.95828,19.69056,0,0,0
1237667254014247912,180.826935449868,29.8358854997476,25.17852,23.08029,22.47326,22.5034,21.67396,0,0,0
1237667254014247921,180.828648493872,29.8850713209479,24.44392,23.28034,22.43033,21.86839,21.59781,0,0,0
1237667254014247922,180.827571064996,29.8840912918603,23.7078,24.43632,22.7322,22.53648,22.14707,0,0,0
1237667254014248065,180.919571487033,29.796876658759,23.41349,23.25161,22.02176,21.51595,20.42977,0,0,0
1237667254014248199,180.920765190949,29.8028816070147,24.26179,25.12499,23.51021,22.00837,21.55266,0,0,0
1237667254014248200,180.919643992735,29.8529635015881,23.5678,23.35286,23.00961,22.14742,22.78786,0,0,0
1237667254014248204,180.920553686951,29.9287092041742,24.87032,23.73679,24.14668,22.30857,22.76529,0,0,0
1237667254014248232,180.82829182226,29.8186898535748,24.37506,25.85015,23.458,25.15493,19.91326,0,0,0
1237667254014248266,180.827530658552,29.7667564390554,22.77945,25.28746,25.14434,20.86428,24.75721,0,0,0
1237667211601576248,180.829186605297,29.9771069139209,22.44487,24.55574,24.01517,23.64137,22.02459,0,0,0
1237667211601576656,180.830813662007,29.9489009188546,26.17832,23.12602,26.01087,23.15846,21.754,0,0,0
1237667211601576657,180.829026402568,29.9961426169719,25.18324,22.80592,21.8593,21.29816,21.33552,0,0,0
1237667211601577007,180.831231667953,29.9816000558532,24.93143,23.68854,21.99441,20.04784,19.07553,0,0,0
1237667211601641691,180.921880314436,29.9529446376638,20.07923,19.04947,18.82721,18.5721,18.52061,0,0,0
1237667211601641880,180.922339519359,29.9437200223301,25.08431,23.41375,22.26358,22.47413,22.67122,0,0,0
1237667211601641883,180.923536529201,29.9495411151715,23.46427,22.40413,21.16973,20.55236,20.21991,0,0,0
1237667211601641885,180.92259219868,29.9768644394616,24.75347,23.54248,23.39043,23.30101,21.79913,0,0,0
1237667254014247177,180.829030051556,29.8707434798012,21.62155,20.53323,20.22015,20.18978,20.09429,0,0,0
1237667254014247180,180.829907172131,29.9216378667532,25.19195,21.6293,20.48856,19.99846,20.62507,0,0,0
1237667254014247441,180.829889084804,29.7706535173558,22.60309,22.0537,20.51946,19.57051,19.27749,0,0,0
1237667254014247443,180.831130869825,29.769250201597,24.87897,23.93991,22.83644,22.00345,21.38611,0,0,0
1237667254014247446,180.831016170586,29.7804574830257,23.55542,22.6352,21.86608,21.92769,22.49672,0,0,0
1237667254014247450,180.830912340631,29.801310578068,21.86468,20.96581,20.45159,20.18501,20.08907,0,0,0
1237667254014247452,180.829775541831,29.828166554612,23.05045,23.10286,23.52657,23.33818,22.26358,0,0,0
1237667254014247460,180.830814048949,29.8673695290204,23.26255,22.88264,22.33734,21.64994,21.27767,0,0,0
1237667254014247462,180.830898763022,29.8850136595576,23.34423,22.83225,21.71928,20.93051,20.56788,0,0,0
1237667254014247731,180.923141878177,29.7595347595512,22.61746,21.05043,20.33014,20.05551,19.98116,0,0,0
1237667254014247734,180.92222046094,29.8183201134741,22.78722,22.62942,22.3525,22.53995,21.71611,0,0,0
1237667254014247738,180.921940273503,29.8434436252493,25.12223,22.54226,21.45894,20.97987,20.63597,0,0,0
1237667254014247745,180.922494055797,29.8919554557718,22.02354,21.41621,20.51778,20.53241,19.91508,0,0,0
1237667254014247746,180.923679668866,29.8918484743638,25.04264,24.07859,22.41083,22.00686,22.39677,0,0,0
1237667254014247923,180.830443914657,29.8558520455888,24.57955,23.37163,21.66737,21.33695,21.00221,0,0,0
1237667254014247928,180.829374329936,29.9101554256833,25.10665,23.55241,22.88945,22.47306,21.46225,0,0,0
1237667254014247932,180.830371420928,29.9284334005557,25.79354,23.35386,22.13896,22.05459,21.78657,0,0,0
1237667254014248071,180.922081248166,29.81072893766,25.88323,23.33391,22.40012,22.08464,22.38002,0,0,0
1237667254014248073,180.923111705831,29.8820055796551,22.91092,23.73169,22.60519,22.53566,21.96608,0,0,0
1237667254014248074,180.923341572683,29.8876317980424,24.35626,23.27284,22.35929,21.62873,21.64646,0,0,0
1237667254014248154,180.830956458873,29.924383246281,23.7975,23.97372,23.65718,22.32352,21.1762,0,0,0
1237667254014248203,180.922569505864,29.8578962862724,24.04212,23.75741,22.64075,22.01886,22.31808,0,0,0
1237667254014248205,180.922678737877,29.9099132836523,25.61765,24.6706,23.8236,21.91803,20.74841,0,0,0
